PO #,PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=748&external=true&parentUrl=close,PO #99SWC-NV25-25281:748,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Business and Industry,Division of Insurance,Teresa Fernandez,3PCR - Complete Receipt,06/18/2025,$17.62
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=749&external=true&parentUrl=close,PO #99SWC-NV25-25281:749,R25029- CC RNO MISC SUPPLIES,"Amazon Capital Services, Inc.",State Public Charter School Authority,State Public Charter School Authority,Brittany Davis,3PCR - Complete Receipt,06/18/2025,$186.45
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=750&external=true&parentUrl=close,PO #99SWC-NV25-25281:750,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Wildlife,Department of Wildlife,Jennifer Miller,3PS - Sent,06/18/2025,$25.98
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=751&external=true&parentUrl=close,PO #99SWC-NV25-25281:751,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Kylie George,3PS - Sent,06/18/2025,$15.99
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=752&external=true&parentUrl=close,PO #99SWC-NV25-25281:752,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Wildlife,Department of Wildlife,Gayle Gregg,3PS - Sent,06/18/2025,$44.97
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=753&external=true&parentUrl=close,PO #99SWC-NV25-25281:753,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Kylie George,3PS - Sent,06/18/2025,$914.06
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=754&external=true&parentUrl=close,PO #99SWC-NV25-25281:754,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Wildlife,Department of Wildlife,Hollie Timmons,3PS - Sent,06/18/2025,$479.97
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=755&external=true&parentUrl=close,PO #99SWC-NV25-25281:755,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Paul Brown,3PS - Sent,06/18/2025,$994.36
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=756&external=true&parentUrl=close,PO #99SWC-NV25-25281:756,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Public Safety,Parole Board,Hanna Branchcomb,3PS - Sent,06/18/2025,"$1,290.63"
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=757&external=true&parentUrl=close,PO #99SWC-NV25-25281:757,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Veterans Services,Department of Veterans Services,Debbie Bronson,3PS - Sent,06/18/2025,$38.90
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=758&external=true&parentUrl=close,PO #99SWC-NV25-25281:758,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Administration,Division of Human Resource Management,Roxanne Hardy,3PCR - Complete Receipt,06/18/2025,$59.99
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=759&external=true&parentUrl=close,PO #99SWC-NV25-25281:759,Amazon-TV Stand for 86inch whiteboard,"Amazon Capital Services, Inc.",Department of Veterans Services,Department of Veterans Services,Tony Yuan,3PS - Sent,06/18/2025,$152.99
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=760&external=true&parentUrl=close,PO #99SWC-NV25-25281:760,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Edith Jordan,3PS - Sent,06/18/2025,$377.65
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=761&external=true&parentUrl=close,PO #99SWC-NV25-25281:761,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Paul Brown,3PS - Sent,06/18/2025,$79.04
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=762&external=true&parentUrl=close,PO #99SWC-NV25-25281:762,G2B #99SWC-NV25-25281 ER7923,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Dawn Andone,3PS - Sent,06/18/2025,$899.98
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=763&external=true&parentUrl=close,PO #99SWC-NV25-25281:763,Epro/SR-5160,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Parks Division,Craig Robinson,3PCR - Complete Receipt,06/18/2025,"$4,860.47"
